nohup: ignoring input
pid:  947291
Using SSIM loss,Mixing rate is:  [0, 0.5, 1]
==>Building network:
train vit net
2023-09-12 02:31:49,727 - mmseg - WARNING - The model and loaded state dict do not match exactly

unexpected key in source state_dict: cls_head.cls.weight, cls_head.cls.bias

Training model named:   vit4-7pg_cur4_all
Models and tensorboard events files are saved to:   /opt/data/private/wjy/PlaneDepth/log_err
Training is using:   cuda
change level from: -1 to: 0
Using split:
   eigen_zhou
There are 39810 training items , 697 validation items

Has Removed old log files at:   /opt/data/private/wjy/PlaneDepth/log_err/vit4-7pg_cur4_all
Loading ground truth depths... √

Starting from epoch 0 and current learning rate for depth is 5e-05 and pose lr is 0.0001
==>Training started...
epoch  12 | batch   2288 | examples/s:  13.0 | loss: 0.07623 |contrast: 0.00023 with w=0.01000 and real: 0.02288
epoch  12 | batch   2788 | examples/s:  13.4 | loss: 0.07618 |contrast: 0.00023 with w=0.01000 and real: 0.02289
epoch  12 | batch   3288 | examples/s:  13.2 | loss: 0.07621 |contrast: 0.00023 with w=0.01000 and real: 0.02286
epoch  12 | batch   3788 | examples/s:  13.1 | loss: 0.07610 |contrast: 0.00023 with w=0.01000 and real: 0.02295
epoch  12 | batch   4288 | examples/s:  13.2 | loss: 0.07602 |contrast: 0.00023 with w=0.01000 and real: 0.02299
epoch  12 | batch   4788 | examples/s:  13.4 | loss: 0.07592 |contrast: 0.00023 with w=0.01000 and real: 0.02300
epoch  13 | batch    312 | examples/s:  13.4 | loss: 0.07460 |contrast: 0.00045 with w=0.02000 and real: 0.02230
epoch  13 | batch    812 | examples/s:  13.2 | loss: 0.07455 |contrast: 0.00044 with w=0.02000 and real: 0.02194
epoch  13 | batch   1312 | examples/s:  13.5 | loss: 0.07491 |contrast: 0.00044 with w=0.02000 and real: 0.02185
epoch  13 | batch   1812 | examples/s:  13.6 | loss: 0.07507 |contrast: 0.00044 with w=0.02000 and real: 0.02184
epoch  13 | batch   2312 | examples/s:  13.0 | loss: 0.07508 |contrast: 0.00044 with w=0.02000 and real: 0.02175
epoch  13 | batch   2812 | examples/s:  13.3 | loss: 0.07500 |contrast: 0.00043 with w=0.02000 and real: 0.02168
epoch  13 | batch   3312 | examples/s:  13.1 | loss: 0.07506 |contrast: 0.00043 with w=0.02000 and real: 0.02159
epoch  13 | batch   3812 | examples/s:  13.5 | loss: 0.07499 |contrast: 0.00043 with w=0.02000 and real: 0.02158
epoch  13 | batch   4312 | examples/s:  13.2 | loss: 0.07491 |contrast: 0.00043 with w=0.02000 and real: 0.02155
epoch  13 | batch   4812 | examples/s:  13.1 | loss: 0.07483 |contrast: 0.00043 with w=0.02000 and real: 0.02152
epoch  14 | batch    336 | examples/s:  13.6 | loss: 0.07361 |contrast: 0.00043 with w=0.02000 and real: 0.02144
epoch  14 | batch    836 | examples/s:  13.5 | loss: 0.07362 |contrast: 0.00043 with w=0.02000 and real: 0.02133
epoch  14 | batch   1336 | examples/s:  12.8 | loss: 0.07412 |contrast: 0.00042 with w=0.02000 and real: 0.02125
epoch  14 | batch   1836 | examples/s:  13.2 | loss: 0.07424 |contrast: 0.00043 with w=0.02000 and real: 0.02125
epoch  14 | batch   2336 | examples/s:  13.4 | loss: 0.07422 |contrast: 0.00042 with w=0.02000 and real: 0.02119
epoch  14 | batch   2836 | examples/s:  13.4 | loss: 0.07411 |contrast: 0.00042 with w=0.02000 and real: 0.02117
epoch  14 | batch   3336 | examples/s:  13.1 | loss: 0.07417 |contrast: 0.00042 with w=0.02000 and real: 0.02115
epoch  14 | batch   3836 | examples/s:  12.9 | loss: 0.07410 |contrast: 0.00042 with w=0.02000 and real: 0.02121
epoch  14 | batch   4336 | examples/s:  13.3 | loss: 0.07406 |contrast: 0.00042 with w=0.02000 and real: 0.02119
epoch  14 | batch   4836 | examples/s:  13.5 | loss: 0.07399 |contrast: 0.00042 with w=0.02000 and real: 0.02120
epoch  15 | batch    360 | examples/s:  13.4 | loss: 0.07306 |contrast: 0.00079 with w=0.04000 and real: 0.01976
epoch  15 | batch    860 | examples/s:  12.6 | loss: 0.07300 |contrast: 0.00079 with w=0.04000 and real: 0.01969
epoch  15 | batch   1360 | examples/s:  13.4 | loss: 0.07337 |contrast: 0.00078 with w=0.04000 and real: 0.01960
epoch  15 | batch   1860 | examples/s:  13.3 | loss: 0.07358 |contrast: 0.00078 with w=0.04000 and real: 0.01953
epoch  15 | batch   2360 | examples/s:  13.4 | loss: 0.07355 |contrast: 0.00078 with w=0.04000 and real: 0.01942
epoch  15 | batch   2860 | examples/s:  12.8 | loss: 0.07350 |contrast: 0.00077 with w=0.04000 and real: 0.01934
epoch  15 | batch   3360 | examples/s:  13.1 | loss: 0.07354 |contrast: 0.00077 with w=0.04000 and real: 0.01926
epoch  15 | batch   3860 | examples/s:  13.4 | loss: 0.07346 |contrast: 0.00077 with w=0.04000 and real: 0.01927
epoch  15 | batch   4360 | examples/s:  13.6 | loss: 0.07342 |contrast: 0.00077 with w=0.04000 and real: 0.01921
epoch  15 | batch   4860 | examples/s:  13.5 | loss: 0.07336 |contrast: 0.00077 with w=0.04000 and real: 0.01919
epoch  16 | batch    384 | examples/s:  12.3 | loss: 0.07237 |contrast: 0.00075 with w=0.04000 and real: 0.01882
epoch  16 | batch    884 | examples/s:  13.2 | loss: 0.07247 |contrast: 0.00075 with w=0.04000 and real: 0.01880
epoch  16 | batch   1384 | examples/s:  12.2 | loss: 0.07279 |contrast: 0.00075 with w=0.04000 and real: 0.01880
epoch  16 | batch   1884 | examples/s:  13.3 | loss: 0.07298 |contrast: 0.00075 with w=0.04000 and real: 0.01879
epoch  16 | batch   2384 | examples/s:  13.6 | loss: 0.07294 |contrast: 0.00075 with w=0.04000 and real: 0.01878
epoch  16 | batch   2884 | examples/s:  13.0 | loss: 0.07293 |contrast: 0.00075 with w=0.04000 and real: 0.01875
epoch  16 | batch   3384 | examples/s:  12.5 | loss: 0.07300 |contrast: 0.00075 with w=0.04000 and real: 0.01873
epoch  16 | batch   3884 | examples/s:  13.7 | loss: 0.07292 |contrast: 0.00075 with w=0.04000 and real: 0.01876
epoch  16 | batch   4384 | examples/s:  13.1 | loss: 0.07286 |contrast: 0.00075 with w=0.04000 and real: 0.01875
epoch  16 | batch   4884 | examples/s:  13.5 | loss: 0.07281 |contrast: 0.00075 with w=0.04000 and real: 0.01873
epoch  17 | batch    408 | examples/s:  13.2 | loss: 0.07192 |contrast: 0.00138 with w=0.08000 and real: 0.01731
epoch  17 | batch    908 | examples/s:  13.4 | loss: 0.07202 |contrast: 0.00137 with w=0.08000 and real: 0.01716
epoch  17 | batch   1408 | examples/s:  13.1 | loss: 0.07239 |contrast: 0.00136 with w=0.08000 and real: 0.01703
epoch  17 | batch   1908 | examples/s:  13.5 | loss: 0.07268 |contrast: 0.00135 with w=0.08000 and real: 0.01691
epoch  17 | batch   2408 | examples/s:  13.0 | loss: 0.07257 |contrast: 0.00135 with w=0.08000 and real: 0.01683
epoch  17 | batch   2908 | examples/s:  13.5 | loss: 0.07255 |contrast: 0.00134 with w=0.08000 and real: 0.01675
epoch  17 | batch   3408 | examples/s:  13.5 | loss: 0.07263 |contrast: 0.00134 with w=0.08000 and real: 0.01669
epoch  17 | batch   3908 | examples/s:  13.6 | loss: 0.07257 |contrast: 0.00133 with w=0.08000 and real: 0.01666
epoch  17 | batch   4408 | examples/s:  13.5 | loss: 0.07251 |contrast: 0.00133 with w=0.08000 and real: 0.01661
epoch  17 | batch   4908 | examples/s:  13.0 | loss: 0.07249 |contrast: 0.00133 with w=0.08000 and real: 0.01657
change level from: 1 to: 2
epoch  18 | batch   2500 | examples/s:  13.5 | loss: 0.07396 |contrast: 0.00058 with w=0.02000 and real: 0.02891
epoch  18 | batch   3000 | examples/s:  13.2 | loss: 0.07389 |contrast: 0.00057 with w=0.02000 and real: 0.02864
epoch  18 | batch   3500 | examples/s:  12.9 | loss: 0.07388 |contrast: 0.00057 with w=0.02000 and real: 0.02843
epoch  18 | batch   4000 | examples/s:  13.6 | loss: 0.07374 |contrast: 0.00057 with w=0.02000 and real: 0.02832
epoch  18 | batch   4500 | examples/s:  13.5 | loss: 0.07363 |contrast: 0.00056 with w=0.02000 and real: 0.02820
epoch  19 | batch     24 | examples/s:  13.6 | loss: 0.07199 |contrast: 0.00058 with w=0.02000 and real: 0.02879
epoch  19 | batch    524 | examples/s:  13.5 | loss: 0.07245 |contrast: 0.00055 with w=0.02000 and real: 0.02726
epoch  19 | batch   1024 | examples/s:  13.5 | loss: 0.07271 |contrast: 0.00054 with w=0.02000 and real: 0.02713
epoch  19 | batch   1524 | examples/s:  13.5 | loss: 0.07296 |contrast: 0.00054 with w=0.02000 and real: 0.02710
epoch  19 | batch   2024 | examples/s:  13.6 | loss: 0.07314 |contrast: 0.00054 with w=0.02000 and real: 0.02713
epoch  19 | batch   2524 | examples/s:  13.1 | loss: 0.07301 |contrast: 0.00054 with w=0.02000 and real: 0.02710
epoch  19 | batch   3024 | examples/s:  13.3 | loss: 0.07304 |contrast: 0.00054 with w=0.02000 and real: 0.02701
epoch  19 | batch   3524 | examples/s:  12.5 | loss: 0.07303 |contrast: 0.00054 with w=0.02000 and real: 0.02698
